snapped_at,price,market_cap,total_volume
2023-09-18 00:00:00 UTC,1622.47877705834,194894815433.29318,4510503165.4192705
2023-09-19 00:00:00 UTC,1636.6346089914616,196866517080.99243,9941458718.149675
2023-09-20 00:00:00 UTC,1643.69841825706,197579394306.666,7059055142.620994
2023-09-21 00:00:00 UTC,1621.5329552921687,195238284476.48944,8720556237.90573
2023-09-22 00:00:00 UTC,1583.824247006604,190533550315.61185,8689409317.938787
2023-09-23 00:00:00 UTC,1593.47015355046,191671036661.16183,5032536233.345791
2023-09-24 00:00:00 UTC,1593.1799744357936,191463785607.09103,2737157669.674098
2023-09-25 00:00:00 UTC,1580.4777945863666,190012572341.59976,4019151198.2509913
2023-09-26 00:00:00 UTC,1588.4711834402021,190754565038.93527,5882822941.20384
2023-09-27 00:00:00 UTC,1592.4861256187212,191614654068.4459,4739690827.753225
2023-09-28 00:00:00 UTC,1597.4168102614992,192175393181.7551,5727217120.031466
2023-09-29 00:00:00 UTC,1652.196396535431,198707180238.38522,13122144914.120922
2023-09-30 00:00:00 UTC,1667.9888487709648,200591326138.499,11095088769.99322
2023-10-01 00:00:00 UTC,1670.9989557571496,200867042112.70465,5460542606.6502695
2023-10-02 00:00:00 UTC,1733.8180349156962,208616290407.59848,8645520966.513845
2023-10-03 00:00:00 UTC,1665.2764251106737,200172602294.2138,14431074410.00186
2023-10-04 00:00:00 UTC,1656.3220030722484,199352909263.54996,7250285380.42555
2023-10-05 00:00:00 UTC,1648.1933725281149,198232748756.17667,8175156481.925116
2023-10-06 00:00:00 UTC,1612.9948892467298,193905617404.47992,8787267282.127947
2023-10-07 00:00:00 UTC,1646.393402292886,197904394911.01013,8345308634.790774
2023-10-08 00:00:00 UTC,1635.0828552489816,196552291634.25327,3685199369.8299108
2023-10-09 00:00:00 UTC,1634.2216551482747,196420396270.57187,5142739595.525261
2023-10-10 00:00:00 UTC,1580.1777604853462,190023356509.71805,10498003428.260439
2023-10-11 00:00:00 UTC,1567.4582264892952,188607402750.23563,8495369532.839566
2023-10-12 00:00:00 UTC,1564.9162030441025,188207961818.06888,8015939736.17274
2023-10-13 00:00:00 UTC,1536.812804708381,184921581767.45752,9246820572.20174
2023-10-14 00:00:00 UTC,1550.9668729956575,186499171781.44952,7362297687.284468
2023-10-15 00:00:00 UTC,1555.4562079337263,187282206956.7056,3481897793.4944234
2023-10-16 00:00:00 UTC,1557.7608092483292,187396158882.85187,4201310278.827138
2023-10-17 00:00:00 UTC,1601.2321896426622,192317986892.35892,14887178566.969343
2023-10-18 00:00:00 UTC,1565.060587724063,188245637231.07706,7529155375.240333
2023-10-19 00:00:00 UTC,1564.0711872017082,188182177984.6937,7161437899.834143
2023-10-20 00:00:00 UTC,1568.3746833451946,188300682203.6159,8131899029.010305
2023-10-21 00:00:00 UTC,1603.9099355967796,192964601205.1603,10739505720.057476
2023-10-22 00:00:00 UTC,1629.2955293417388,195866648537.69147,6818675335.582143
2023-10-23 00:00:00 UTC,1664.5706380939323,197491207720.22275,8470836764.501468
2023-10-24 00:00:00 UTC,1764.9303085804013,212527885674.17044,23272549997.825783
2023-10-25 00:00:00 UTC,1784.773410988584,214740097898.5592,28137390855.35382
2023-10-26 00:00:00 UTC,1785.555149097494,214935538924.01108,15647597829.544785
2023-10-27 00:00:00 UTC,1804.1617691384567,216879040348.27588,19864145386.364857
2023-10-28 00:00:00 UTC,1780.5704118622923,214351226094.45346,12329788100.96478
2023-10-29 00:00:00 UTC,1776.3535658345309,213698048381.15945,5385051173.590621
2023-10-30 00:00:00 UTC,1798.1654135455137,215950565096.1834,6733870972.011415
2023-10-31 00:00:00 UTC,1809.639301345049,217544224998.03268,12283936341.051819
2023-11-01 00:00:00 UTC,1816.803148929945,218052557576.0985,10712345068.7021
2023-11-02 00:00:00 UTC,1846.482230513473,222024443887.90033,18025272109.670574
2023-11-03 00:00:00 UTC,1800.9071798806326,216775540617.1553,15441869609.99988
2023-11-04 00:00:00 UTC,1834.1730567056395,220418913057.4458,12992122083.558926
2023-11-05 00:00:00 UTC,1855.454385276214,223507407757.97437,8686638673.41189
2023-11-06 00:00:00 UTC,1895.9380660074166,227772620755.0978,12950158459.808773
2023-11-07 00:00:00 UTC,1898.5182255844231,228021051988.98962,12499005108.482542
